service_name,rule_type,specialty,facility_level,tariff_amount,payment_method,conditions_count,coverage_conditions_count,exclusions_count
Removal of Steinmann pin,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),22400.0,fee-for-service,1,1,2
Revision of Total Hip or Knee (Including implants),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Rotator cuff repair,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Scoliosis correction,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),291200.0,fee-for-service,1,1,2
Stabilisation of Patella,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Subacromial decompression,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),201600.0,fee-for-service,1,1,2
Syndactyly / polydactyly correction,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Synovectomy: Small joints,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),33600.0,fee-for-service,1,1,2
Tendon repair (others),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Tendon repair: Achiles tendon/Patella tendons/Quad...,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Tendon transfer,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Toes and fingers Disarticulation,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),33600.0,fee-for-service,1,1,2
Total hipreplacement (THR) (Including implants),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),336000.0,fee-for-service,1,1,2
Total knee replacement (TKR) (Including implants),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),336000.0,fee-for-service,1,1,2
Wedge tarsectomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
"Hirschsprung's disease procedure a) Laparotomy, bi...",annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
"Hirschsprung's disease procedure b)Abdominoperine...",annex_procedure,Paediatric,Level 4+ (County Hospital or higher),201600.0,fee-for-service,1,1,2
"Hirschsprung's disease procedure c) Closure ofCol...",annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Insertion of CAPD catheter,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),33600.0,fee-for-service,1,1,2
Insertion of underwater seal drainage (Paediatric ...,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),33600.0,fee-for-service,1,1,2
Laparotomy: Intestinal resection + anastomasis,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Intussusception,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Tumours,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),168000.0,fee-for-service,1,1,2
Laparotomy: Volvulus,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Rectosigmoidectomy,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Resection of posterior / anterior urethral valves,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Urethroplasty for hypospadies and epispadies,annex_procedure,Paediatric,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Advancement flaps (CANCERS/TRAUMA),annex_procedure,Plastic,Level 4+ (County Hospital or higher),112000.0,fee-for-service,1,1,2
Cleft lip and palate repair (Unilateral/Bilateral),annex_procedure,Plastic,Level 4+ (County Hospital or higher),112000.0,fee-for-service,1,1,2
Cleft lip repair (Unilateral/Bilateral),annex_procedure,Plastic,Level 4+ (County Hospital or higher),56000.0,fee-for-service,1,1,2
Cleft palate repair,annex_procedure,Plastic,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Insertion of tissue expander,annex_procedure,Plastic,Level 4+ (County Hospital or higher),168000.0,fee-for-service,1,1,2
Lip reconstruction (ONLY for RTA and Tumors),annex_procedure,Plastic,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Posterior Sagittal Anorectalplasty (PSARP) for ano...,annex_procedure,Plastic,Level 4+ (County Hospital or higher),201600.0,fee-for-service,1,1,2
Posterior Sagittal Anorectalplasty (PSARP) for ano...,annex_procedure,Plastic,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Reduction Mammoplasty (bilateral),annex_procedure,Plastic,Level 4+ (County Hospital or higher),168000.0,fee-for-service,1,1,2
Removal of tissue expander,annex_procedure,Plastic,Level 4+ (County Hospital or higher),33600.0,fee-for-service,1,1,2
Rotation flaps,annex_procedure,Plastic,Level 4+ (County Hospital or higher),112000.0,fee-for-service,1,1,2
Skin graft <10 % TBSA,annex_procedure,Plastic,Level 4+ (County Hospital or higher),44800.0,fee-for-service,1,1,2
Skin graft > 10% TBSA,annex_procedure,Plastic,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Anastomotic urethroplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),112000.0,fee-for-service,1,1,2
Anatrophic nephrolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),243000.0,fee-for-service,1,1,2
Anterior exenteration and ileal conduit,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),550000.0,fee-for-service,1,1,2
Ascending urethrography,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),6000.0,fee-for-service,1,1,2
Aspiration of hydrocele,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),10000.0,fee-for-service,1,1,2
Bilateral modified inguinal node dissection,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),450000.0,fee-for-service,1,1,2
Bilateral ochidectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Bilateral radical inguinal node dissection,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),385000.0,fee-for-service,1,1,2
Bipolar fulgration of genital and perineal warts,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),170000.0,fee-for-service,1,1,2
Bipolar fulgration of urethral warts,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),97000.0,fee-for-service,1,1,2
Bladder augmentation surgery,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),325000.0,fee-for-service,1,3,2
Bladder biopsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),16800.0,fee-for-service,1,1,2
Bladder diverticulectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Bladder injury repair,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Bladder washout,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),30000.0,fee-for-service,1,1,2
Bricker's ileal conduit,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),268800.0,fee-for-service,1,1,2
Combined ascending and descending urethrography,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),7000.0,fee-for-service,1,1,2
Creation of instestinal continent catherizable pou...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),424000.0,fee-for-service,1,1,2
Cutaneous ureterostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),270000.0,fee-for-service,1,1,2
Direct visual urethrotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Epispadia urethroplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),420000.0,fee-for-service,1,1,2
Excision and graft peyronies repair,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),396000.0,fee-for-service,1,1,2
Excision of epididymal cyst,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),195000.0,fee-for-service,1,1,2
Excision of patent urachus,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Female urethral diverticulectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),320000.0,fee-for-service,1,1,2
Femoral hernia repair,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),180000.0,fee-for-service,1,1,2
Flexible cystoscopy and removal of JJ stent,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),35000.0,fee-for-service,1,1,2
Flexible cystoscopy and surveillance for bladder c...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),33600.0,fee-for-service,1,1,2
Flexible ureterorenoscopy and laser ablation of ur...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),201600.0,fee-for-service,1,1,2
Flexible ureterorenoscopy and laser lithotripsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),201600.0,fee-for-service,1,1,2
Flexible ureteroscopy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),120000.0,fee-for-service,1,1,2
Flexible urethrocystoscopy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),70000.0,fee-for-service,1,1,2
Fournier's gangrene necrosectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),180000.0,fee-for-service,1,1,2
Graft urethroplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Hydrocelectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),75000.0,fee-for-service,1,1,2
Hypospadia urethroplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),202000.0,fee-for-service,1,1,2
Ileal replacement of ureter,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Inguinal hernia repair,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Inguinal ochidopexy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Insertion of artificial urethral sphincter,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),1200000.0,fee-for-service,1,1,2
Insertion of female urethral sling,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),300000.0,fee-for-service,1,1,2
Intravesical instillation of chemotherapy for blad...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),45000.0,fee-for-service,1,1,2
JJ stent placement,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Laparoscopic ablation of renal cyst,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Laparoscopic adrenalectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Laparoscopic donor nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),200000.0,fee-for-service,1,1,2
Laparoscopic ochidopexy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Laparoscopic partial nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),325000.0,fee-for-service,1,1,2
Laparoscopic pyelolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Laparoscopic pyeloplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Laparoscopic radical nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Laparoscopic radical nephroureterectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Laparoscopic radical ochidectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),134400.0,fee-for-service,1,1,2
Laparoscopic radical prostatectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Laparoscopic simple nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Laparoscopic ureterolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),275000.0,fee-for-service,1,1,2
Laparoscopic varicocelectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Laser cystolithotripsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),234000.0,fee-for-service,1,1,2
Laser urethrolithotripsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Laser urethrotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Mainz II urinary diversion,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),224000.0,fee-for-service,1,1,2
Meatoplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Micturating cystourethrography,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),6000.0,fee-for-service,1,1,2
Mitrofanoff's appendicovesicostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Open adrenalectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Open cystolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),234000.0,fee-for-service,1,1,2
Open decortication of renal cyst,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Open donor nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),200000.0,fee-for-service,1,1,2
Open drainage of renal abscess,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Open nephrolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Open partial nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),325000.0,fee-for-service,1,1,2
Open pyelolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Open pyeloplasty,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open radical nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Open radical nephrectomy with IVC thrombectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),850000.0,fee-for-service,1,1,2
Open radical nephroureterectomy with bladder cuff,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),325000.0,fee-for-service,1,1,2
Open radical prostatectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Open Renorrhaphy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open simple nephroureterectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open simple prostatectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Open suprapubic catheterization,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),8960.0,fee-for-service,1,1,2
Open ureterolithotomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),275000.0,fee-for-service,1,1,2
Open varicocelectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Orthotopic neobladder reconstruction,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),424000.0,fee-for-service,1,1,2
Partial cystectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),223000.0,fee-for-service,1,1,2
Partial glansectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),120000.0,fee-for-service,1,1,2
Partial penectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Pelvic fracture urethral defect (PFUD) urethroplas...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),398000.0,fee-for-service,1,1,2
Percutaneous ablation of renal cyst,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Percutaneous cystolithotripsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Percutaneous drainage of renal abscess,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Percutaneous nephrolithotomy (PCNL),annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),336000.0,fee-for-service,1,1,2
Percutaneous nephrostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),143360.0,fee-for-service,1,1,2
Percutaneous prograde JJ stenting,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Percutaneous prograde nephrostogram,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Percutaneous removal of retained JJ stent,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Percutaneous resection and ablation of urothelial ...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Percutaneous suprapubic catheterization,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),8960.0,fee-for-service,1,1,2
Pericatheter urethrography,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),6500.0,fee-for-service,1,1,2
Perineal urethrostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Plication Peyronie's repair,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),245000.0,fee-for-service,1,1,2
Post circumcision repair,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),80000.0,fee-for-service,1,1,2
Posterior urethral valve ablation,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Prostate biopsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),16800.0,fee-for-service,1,1,2
Proximal shunt of priapism,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Radical cystoprostatectomy and ileal conduit INC I...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),850000.0,fee-for-service,1,1,2
Radical inguinal ochidectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),134400.0,fee-for-service,1,1,2
Radical penectomy with perineal urethrostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),450000.0,fee-for-service,1,1,2
Radical urethrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),375000.0,fee-for-service,1,1,2
Recipient kidney transplantation,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),800000.0,fee-for-service,1,1,2
Repair of bladder extrophy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),490000.0,fee-for-service,1,1,2
Repair of colovesical fistula,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),112000.0,fee-for-service,1,1,2
Repair of cystocele with mesh,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Repair of fracture penis,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),246400.0,fee-for-service,1,1,2
Repair of ligated ureter,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Repair of penile injury,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Repair of ureter injury,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Repair of urethral injury,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),112000.0,fee-for-service,1,1,2
Retrograde pyelography,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),7500.0,fee-for-service,1,1,2
Retroperitoneal lymph node dissection,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),500000.0,fee-for-service,1,1,2
Rigid Cystoscopy and Removal of JJ stent,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),33600.0,fee-for-service,1,1,2
Robotic radical prostatectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),250000.0,fee-for-service,1,1,2
Scrotal exploration and ochidopexy of testicular t...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),95000.0,fee-for-service,1,1,2
Semi rigid ureteroscopy and laser ureterolithotrip...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Semi rigid ureteroscopy and removal of retained JJ...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),290000.0,fee-for-service,1,1,2
Semirigid ureteroscopy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),110000.0,fee-for-service,1,1,2
Sentinel inguinal node biopsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),175000.0,fee-for-service,1,1,2
Simple cystectomy and ileal conduit,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),295000.0,fee-for-service,1,1,2
Simple nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Simple ochidectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Testicular/penile biopsy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),16800.0,fee-for-service,1,1,2
Total penectomy with perineal urethrostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),450000.0,fee-for-service,1,1,2
Trasurethral resection of prostate (TURP),annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Trauma nephrectomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,2,1,2
Ultrasound guided biopsy of renal masses,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),22400.0,fee-for-service,1,1,2
Unilateral modified inguinal node dissection,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),270000.0,fee-for-service,1,1,2
Unilateral radical inguinal node dissection,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Ureter reimplantation,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Ureteral dilation,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),90000.0,fee-for-service,1,1,2
Ureterolysis,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),345000.0,fee-for-service,1,1,2
Ureteroscopy and laser ablation of ureteric tumor,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Ureteroscopy and laser incision of ureter strictur...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Ureteroureterostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),134400.0,fee-for-service,1,1,2
Urethral dilation,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),33600.0,fee-for-service,1,1,2
Urethroscopy and ablation of bleeding prostatic he...,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),180000.0,fee-for-service,1,1,2
Vesicostomy,annex_procedure,Urological,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
